DI,Dev,Port,line,DI_Name,DO,Dev,Port,line,DO_Name
,0,0,0,Start,,0,0,0,Green
,0,0,1,NA,,0,0,1,NA
,0,0,2,Photoelectric Presence Sensor,,0,0,2,Red
,0,0,3,NA,,0,0,3,NA
,0,0,4,NA,,0,0,4,Yellow
,0,0,5,NA,,0,0,5,NA
,0,0,6,NA,,0,0,6,NA
,0,0,7,NA,,0,0,7,NA
,0,0,8,NA,,0,0,8,NA
,0,0,9,NA,,0,0,9,NA
,0,0,10,NA,,0,0,10,NA
,0,0,11,NA,,0,0,11,NA
,0,0,12,NA,,0,0,12,NA
,0,0,13,NA,,0,0,13,NA
,0,0,14,NA,,0,0,14,NA
,0,0,15,NA,,0,0,15,NA
